threshold,accuracy,precision,recall,f1_score,mae,cohen_kappa,specificity
0.3,0.8413,0.8,0.9949,0.8869,0.1587,0.6316,0.5855
0.35,0.8462,0.805,0.9949,0.8899,0.1538,0.6438,0.5983
0.4,0.8526,0.8117,0.9949,0.894,0.1474,0.6599,0.6154
0.45,0.8606,0.8203,0.9949,0.8992,0.1394,0.6799,0.6368
0.5,0.8638,0.8238,0.9949,0.9013,0.1362,0.6878,0.6453
0.55,0.8702,0.8308,0.9949,0.9055,0.1298,0.7036,0.6624
0.6,0.8766,0.838,0.9949,0.9097,0.1234,0.7192,0.6795
0.65,0.8782,0.8398,0.9949,0.9108,0.1218,0.7231,0.6838
0.7,0.8846,0.8472,0.9949,0.9151,0.1154,0.7387,0.7009
0.75,0.8846,0.8472,0.9949,0.9151,0.1154,0.7387,0.7009
0.8,0.8878,0.8524,0.9923,0.9171,0.1122,0.7468,0.7137
0.85,0.8878,0.8556,0.9872,0.9167,0.1122,0.7477,0.7222
0.9,0.8974,0.8688,0.9846,0.9231,0.1026,0.771,0.7521
